9796;5333;7577;5906;3765;3479;6802
5526;6944;9919;6974;4419;3918;5325
3182;9203;9975;5201;4940;6340;9427
2452;4639;1820;5797;9861;8231;90
7779;7840;3180;6055;6337;414;9415
6219;5668;7562;6813;7501;979;6540
9512;9273;2508;4587;55;1362;941
109;6148;2298;3521;8192;6066;8257
7079;9647;9304;4905;5090;5855;3147
1138;8453;1378;6339;5498;174;9627
7170;1156;4880;5901;1406;5779;7965
6515;7944;5490;3688;8656;9232;6733
5698;4193;1035;8934;1239;5532;397
6559;9474;4247;8497;1545;3204;3143
2853;1251;783;1908;4476;7191;1314
4575;2042;5591;6169;2496;3004;1460
597;555;1231;4433;8482;4435;1553
7415;3345;9326;5198;9130;260;435
2053;7329;1310;833;4855;9374;2048
8736;3416;6434;8304;688;6280;3751
5759;8937;4899;5245;3574;1646;3730
2803;3561;2053;3786;3181;2539;6471
3915;8819;9855;1022;9081;5046;6847
1042;5834;359;9108;656;3295;4142
3236;5690;2120;6854;4249;4293;3924
4462;545;5422;8204;7140;873;1915
9643;4398;2949;7592;1601;2293;5186
7690;5394;8743;8295;757;7744;3926
4974;528;6857;8957;5618;669;8245
6867;110;3162;3800;1241;3838;8915
8789;9562;6015;4398;5068;5492;9644
3226;4218;4617;3017;6652;4;5454
9162;6341;3872;6951;6608;5274;2391
9237;6450;161;1115;3298;1246;9331
873;773;5543;3119;8950;6394;8469
1665;5616;7910;7690;931;9514;8618
3280;3761;767;96;6924;7473;8864
1565;4093;3179;7924;6240;1726;865
1941;70;2327;6214;4762;7642;97
2885;8550;7290;8285;1442;9272;6593
8187;6232;790;9701;4042;6805;682
1878;3454;5794;7931;9132;8579;4202
8771;1043;9470;6956;6734;2196;5082
7776;4550;6907;5173;4485;5114;4286
8178;107;2151;3052;9795;4441;797
1779;6357;3250;2933;9675;1161;828
7783;3322;1392;6543;9524;6588;8206
336;803;6700;374;5673;5128;9421
2741;4102;5743;4742;9759;8802;355
6647;2900;9326;2757;8991;2144;259
4713;283;7163;995;1768;7861;2572
2350;3280;2320;4493;9600;8048;1542
6083;2931;6797;1959;7138;3297;3822
1293;6775;2916;7087;7569;9752;7709
7600;1639;2547;4042;1582;762;5120
8449;1945;5016;2246;4314;4475;4646
7172;3741;4139;9234;8953;8223;9666
713;5116;1659;2242;5680;6516;4112
9755;9528;9669;5174;6411;9115;5041
2654;1300;5648;6526;8523;9550;8492
3291;1645;8899;8460;1521;620;9007
6601;412;6490;6718;3585;99;6402
3263;4632;8823;5001;4335;3392;5425
5700;2822;4361;3722;4520;7938;3337
4426;5388;1026;2291;9356;6421;3631
7019;8231;2494;8506;8304;513;8247
5513;1185;1348;6642;9108;7955;9351
6464;1885;9833;7660;4395;9440;8379
943;2239;6688;2549;6427;9325;8413
689;6571;8505;6225;1559;4430;4358
5730;3314;1678;3579;9630;5954;8167
4425;6484;5838;4328;4434;7090;5141
2035;1532;6998;7507;9281;5623;4368
6742;7232;7196;7244;8963;5956;6583
4230;8472;2141;8547;8219;9834;3882
4512;1883;4209;9016;9480;1290;7902
4827;5835;9680;2634;128;3156;3970
3818;2920;3062;5416;3939;6750;2924
5890;133;3114;1123;3055;7700;2643
9932;7217;7075;1584;373;3499;8613
2342;7778;1498;6051;97;2579;5552
9509;8525;3957;9847;1354;2587;5238
7963;9789;4412;7627;5282;9043;4627
748;9867;3000;9755;2793;8732;3477
1644;3258;3375;9347;7813;5360;4211
2263;3735;1176;2241;1336;4622;4927
6657;9494;6102;8457;5370;6285;6939
2084;111;2297;9317;8559;2785;4473
9236;5172;9102;1869;3234;5889;4833
8656;216;1066;6083;6238;5600;7791
2013;532;9943;5904;8961;456;7327
6304;5705;1368;62;7836;7814;7425
9653;6090;5967;482;6169;1625;2047
779;5799;7584;5486;9343;8112;5714
5640;5240;2301;8229;2014;3594;6988
2352;5936;689;6602;6946;1135;5948
6863;8061;8814;5665;3421;1381;5976
9291;9816;1879;3526;7361;3731;6287
6407;6887;2179;8626;8570;5040;4185
4165;2589;7379;9256;1856;4515;82
6259;2845;9730;9807;5613;6626;9515
4074;1921;7937;276;328;9167;6238
8667;6645;692;1196;4135;565;8244
5239;8064;725;228;8887;427;2152
528;6042;1687;4360;757;2867;9041
2507;2283;6299;8540;6399;7770;5482
8638;2089;3834;1242;2523;7567;6998
8573;8949;6090;6061;5960;3518;913
2805;9484;1076;2084;3505;2214;8290
9530;907;5851;4505;5036;5731;264
3365;8653;4674;1419;7746;538;8633
3836;4661;9429;8389;8322;9175;6472
6117;2477;243;1321;3239;6876;7536
306;4398;9724;9411;2359;4008;308
7390;5698;9384;9499;8513;3565;6860
8788;5398;497;2158;6621;3321;2136
168;7310;4120;6738;3623;7920;8829
9652;4196;4120;3201;158;4304;2070
247;6082;7024;2069;9495;8784;9448
4975;5604;6581;2217;5275;1735;5357
7034;749;77;5822;188;4567;6253
2261;932;8926;2132;4453;9522;4124
3406;3902;7989;9037;5187;9582;5214
767;3728;2270;1478;4377;2451;9273
3769;2955;291;8676;6562;6582;7147
8757;2627;9469;2520;499;1323;5679
979;2544;7835;2578;5850;1711;3105
2803;6394;3090;22;9317;4632;7183
6201;8962;9064;8434;6571;4622;49
2312;8806;42;6591;5669;8194;8338
8618;1485;5041;9928;2692;2340;4826
7216;8355;7455;4060;1171;266;3207
6916;6538;5677;136;7724;5702;9399
2516;4558;340;7904;7624;7882;9393
2684;1641;6161;4494;2119;9613;265
114;5552;9686;6782;966;9391;3832
7910;881;653;5647;9435;3686;7901
191;1131;2869;878;9785;2579;6844
1812;8416;1199;7478;1051;3432;3795
2646;7932;1043;4555;9751;2786;2715
6574;5408;9137;8946;9979;3679;3645
1543;8990;7910;9339;9681;5083;2907
453;4320;440;3480;6385;608;2305
6816;700;2101;6987;3814;2602;9073
9249;4576;5149;3610;3196;1224;9788
2467;6199;123;4909;365;6343;5082
1544;6330;1102;4330;6383;5046;4985
2985;6094;2313;1306;2356;1569;5168
6542;5597;4412;1477;8235;2134;7798
4023;6086;4784;8040;2099;9769;9598
1159;2858;2780;8010;584;5135;8515
2582;6902;5807;5940;136;8424;3377
4265;603;782;5394;9599;6105;4522
9157;4430;6060;2836;5171;2565;4773
6246;1080;9667;1791;3453;1943;9486
369;4164;6636;671;9871;4253;8468
3912;992;2233;8177;6105;1431;628
3257;2558;7213;6323;6400;8405;436
8181;3586;8041;5501;8354;1782;7176
6186;9647;163;3053;6178;8928;2931
898;5948;4358;1505;56;5031;4384
8266;5378;5952;6505;1809;5681;2551
3416;6245;1444;7639;4569;207;153
6157;5254;3889;8834;9696;9828;8569
6705;8829;9115;5355;4534;9180;9361
1179;3589;8480;7422;3061;1266;4419
763;3757;1348;9541;686;7083;3418
4611;2921;6491;1958;3053;3973;7689
7472;9250;771;7859;7698;6115;4058
1591;4206;4913;9494;3560;6438;3168
2445;462;5605;9643;8565;265;7807
3548;6615;7294;7635;8014;3269;3810
7153;9426;9866;7920;3539;4186;664
8669;5083;9362;7225;4280;6080;3427
9873;1147;4588;8617;6286;2500;4597
8558;2547;8663;3238;1722;1813;9414
1612;9341;9961;7978;6572;545;1631
1563;1091;3113;5140;5676;6986;9082
5759;1544;6763;2809;5447;2694;7385
692;1096;3834;9874;5523;7148;7779
3671;9128;8013;6188;3259;9109;995
6558;2836;8097;2590;5131;7382;15
2786;8539;6848;8687;6791;4016;5244
2342;5720;8328;690;8090;8066;6076
6899;2456;2825;5169;5014;779;7900
9981;2860;6127;3129;4975;2579;7145
4737;1408;2413;6549;5751;1650;4586
9757;6992;1447;2738;364;5079;9641
1728;7372;4250;5617;3035;4592;4788
9584;4008;6925;4792;9975;2536;2879
1592;9887;1854;4129;8408;6663;3650
417;2010;5483;8742;7622;3296;3928
2586;4131;5637;9465;2465;1552;6001
5957;9716;255;8754;8308;7382;5085
5118;9931;6962;8785;5716;1840;6068
6429;3957;8311;3592;8142;3708;5371
1383;5568;6262;2352;4121;8752;8945
3718;8024;9822;5368;3325;1721;95
1796;2972;5391;8558;3566;6707;3315
3905;210;7711;493;6978;4047;4064
877;2045;1151;3293;9717;2185;2084
6315;1082;2885;7153;980;7876;7203
4126;2252;2108;688;1130;3232;9642
4253;5814;6250;2550;7398;1048;8923
881;361;9968;204;7431;5328;4183
8280;3465;2546;9100;7003;6209;9162
8876;5698;6554;7610;7923;8592;4115
9170;6356;778;6929;8264;8469;5551
2774;6919;9986;8426;9144;6946;7529
1834;8519;5097;3137;9355;1147;8924
9267;2677;5290;6192;1557;4703;5238
2556;8190;6468;4908;4380;6941;4284
5319;7085;9382;3514;1784;4923;8323
5601;673;8389;9068;9844;4632;384
1632;3712;9970;2500;3448;6177;9343
5830;3960;5712;5204;8199;2279;8589
4238;6683;8776;7764;1578;8832;8699
3857;6515;2832;9801;401;9152;6816
3516;461;3502;4144;7500;429;8442
6766;2333;9459;905;1115;1325;6886
466;1855;3899;4527;6712;8325;4864
973;4532;4078;8508;1425;3560;6682
7616;9620;9923;5154;6411;1487;8838
9731;2513;2975;6147;6384;6278;9997
2322;8110;3222;5457;2695;9600;8579
9512;1815;4707;7964;3182;6111;2739
7666;5659;9030;4214;4999;1318;3727
8716;8698;8497;9161;883;3476;8168
2010;8540;7070;3342;1017;5307;6225
9489;5816;6236;4146;4509;9438;6611
7990;9314;1185;5467;3830;5728;2307
2686;6566;9097;7847;267;7166;7137
6849;5531;9309;9980;7340;7476;2873
7374;3926;8805;5152;5018;3176;4555
7014;4201;3513;2599;5086;7493;5215
6036;378;2876;1996;2083;4876;373
2788;1429;3619;5410;7345;9074;1520
9127;6763;1502;2754;9428;9102;1615
7650;6175;8812;9164;1150;9595;7861
208;3818;387;3694;5867;5612;177
8179;6174;9116;6865;1909;9143;553
8276;6820;1989;6639;5903;6973;8163
3624;9756;6063;4941;9768;3344;3524
7133;909;2796;9775;4862;7788;3040
5691;8725;2281;4561;8425;921;3198
4331;7488;9137;5180;4676;7781;8526
3276;9680;3965;2931;4842;4056;6671
4909;2046;6823;9129;4473;974;1670
3521;8349;1443;5925;8120;3788;4394
323;7951;6929;1513;1666;2514;8458
6514;6023;6570;9664;1980;9972;1324
2273;5550;700;3070;3257;9329;5584
9776;4700;5057;4483;4956;3980;6690
8167;1715;1653;1900;9579;9697;8135
9542;1961;4708;6520;9416;1081;7183
5928;1941;7310;3110;8978;6146;7211
2250;6972;4616;1555;8232;7378;6417
8367;7670;3871;9104;2280;1090;2900
5427;9614;1939;1508;6219;8534;2175
581;519;6240;5511;2717;4696;6112
301;8687;833;1630;3107;3939;5212
4417;5719;6446;9423;5339;6731;3723
8406;8369;5937;1221;1020;8515;1018
6898;8269;9275;820;2560;9480;8023
1862;7520;3488;6707;267;7177;2586
2238;1178;2300;5122;9075;1205;1709
9582;2605;8138;500;6893;3734;368
9693;4707;8843;7296;1433;6037;5975
8111;4126;1954;7379;9826;2758;3875
2991;3372;26;7006;7408;7938;7215
6300;9972;3909;5643;3600;3153;7635
