51178;20673;50289;5781;2073;45214;65649;60496;32100;63682;22374;22870;36974;51686;38774;69018;3407;66592;55848;58731;4421;51364;10253;57477;45019;63226;42909;35269;31834;20204;208;64790;45763;57718;52109;758;35159;46778;51969;10540;54161;69877;69618;18290;1160;28352;39568;56679;60837;30259
46245;3078;12800;5374;23801;52932;43701;54112;53774;22962;21928;44846;53185;54042;21101;22211;67737;24109;49931;62628;7545;36599;44732;38717;40622;23738;3414;6219;65223;25494;23026;1923;5647;18097;47548;1059;29192;53976;51381;1353;48635;50017;4122;52335;34696;48350;28224;51304;32060;17334
2190;6369;19094;3083;29289;5283;65743;13712;56721;13893;29814;61174;451;60495;32647;17275;40810;26162;50596;22288;14010;22768;36174;60483;48721;22508;65440;60575;6237;34787;21247;42983;55769;12843;35810;37013;8249;8023;8725;37857;51204;53884;52344;66897;60348;54253;39238;47762;42361;57654
42262;43176;5347;55056;47855;1491;11884;69632;29467;13319;42716;38577;48774;17883;9322;22290;11058;29563;26521;1184;35955;1684;57014;67522;20641;33033;41412;59997;50153;6313;56168;26821;67323;60335;6022;35996;10592;40840;7275;552;9203;14439;16658;50103;10400;18121;34607;38510;58599;42288
60152;35903;22453;57717;48878;44462;32911;64049;20794;27009;55850;12905;49178;46755;43433;5086;14744;8842;37958;37914;2759;17719;1676;14171;16545;53799;10699;11323;44842;30204;62695;12737;47782;65219;67068;44179;17023;59536;22703;45466;69443;5319;46601;49712;10120;346;64281;49022;37721;29163
64377;28055;40398;19359;3602;31532;47211;29641;67548;16234;43863;53948;52011;47356;45131;66450;16671;9520;68045;37639;33717;1226;21098;2851;26534;36673;13359;7911;54344;31528;7041;18272;16404;2758;13522;14607;6085;14977;7243;12143;33647;61320;27823;69002;13347;67500;9563;51607;49672;1714
44859;3167;39936;27407;27933;1222;61359;22976;32903;38250;9488;11576;9596;59421;5480;25044;8699;16383;37;17534;22712;19959;17761;44038;23831;13512;67000;26911;34528;33195;12689;17465;50218;34781;1744;35362;43726;55607;22298;56844;7362;66075;51739;20404;20348;5645;8534;10608;33769;44256
60779;6288;36676;1082;48266;69596;9743;22544;56644;32127;13095;32938;55850;14682;40687;20633;8528;25127;67748;25266;22690;36447;1349;43859;17510;55196;21121;49249;52559;48024;3283;24441;51279;53225;37005;34793;56007;11564;59760;25765;61227;10383;3891;45818;48225;64808;44947;1545;13200;35122
18421;41884;12042;6288;24938;32016;22033;11627;4278;55117;63887;11683;38639;41094;63196;35783;47342;12063;30834;49256;64513;39867;33493;42906;40853;13105;12572;32736;30376;64916;53817;22653;61946;4217;9209;11814;45954;58189;40706;6067;15969;25074;14991;15086;30045;14094;22240;67974;7563;26115
12114;10728;30623;59962;45183;62370;26285;24560;4982;46888;65448;64789;62799;16239;48724;8306;5431;1757;62055;22848;13547;52527;1416;11295;4323;11641;30484;60599;17967;55673;19489;17249;33773;29578;24513;32634;51720;66825;55256;46112;38646;69651;49737;48675;18849;34150;56618;61440;51186;47346
