9288;1957;9875
8464;5920;3928
9163;9055;3184
7930;2984;5052
9945;5037;8106
6442;7153;6122
8680;9576;4641
5979;4500;9635
8696;789;1453
9315;6610;1343
8089;6209;3334
7547;8816;9334
5048;1443;9763
1288;4165;4184
7933;728;5983
6239;7955;8827
3519;2266;9027
6880;6981;8839
6666;8794;999
933;4579;437
372;7583;6263
1118;7485;241
6974;4924;8682
8409;1003;1550
9078;4113;1209
6909;3957;4022
5369;1704;5919
8036;7481;5270
951;1085;2492
8777;3582;2712
2838;5797;8008
9132;9614;6033
1501;277;678
7906;3231;490
3214;4912;536
3607;6260;6396
5045;5170;1823
7578;2943;6609
5209;2999;9168
1476;9934;4380
6068;8893;4732
4209;6216;2353
3386;1517;6838
8914;3389;3929
1912;9994;5726
4017;5870;8160
7646;548;90
4248;7947;1413
1456;2861;3577
8944;6013;875
7221;4576;4454
9067;3355;2306
5310;8189;3363
4780;4843;2418
2729;1297;4137
3361;9776;5113
7171;8611;8038
3185;3982;3813
4979;8431;596
1660;6075;3777
7852;3669;7739
7492;6660;7689
9563;5130;240
152;4665;4004
4180;6310;6782
5120;8025;5568
1531;3949;9327
2280;6364;9090
3456;5069;2742
1592;203;916
6592;6529;2601
9770;2907;1017
9565;7885;536
2538;3928;538
142;8283;3474
7346;8617;1442
9285;3279;2209
7136;1992;8410
2323;5457;3146
9729;3994;8007
9214;5457;7217
2373;6119;3292
7501;9694;61
6902;9827;2396
8955;5108;351
8008;2047;2425
8613;2398;2854
850;1363;9417
5330;7574;9967
7103;9206;4803
4428;6573;8495
3423;7142;290
4763;858;8955
6042;9638;283
7766;8544;8260
2595;5317;3733
2511;8082;9843
9856;4883;8446
1549;7650;1869
2791;955;60
1808;5503;8275
1786;4099;3218
4683;4426;4863
3309;7296;1958
1270;329;3447
7472;8598;4396
4526;1595;5190
9884;73;5816
9777;3427;8281
919;5792;9339
9549;9935;1135
258;5236;4372
8514;7235;8107
2931;5742;3671
5088;6985;5763
5002;1612;8692
4764;2020;3265
4815;8296;7527
4388;9977;7717
6020;8021;2220
7012;2648;5514
1803;5563;7111
6308;8394;3214
8749;6698;1708
1571;8456;1692
2519;1201;8185
4341;3542;1510
5916;9147;4933
5275;5306;4775
300;1037;803
169;5343;3784
5230;731;9882
9617;7207;3259
5905;6888;1089
6767;5711;325
6614;8948;5898
7781;498;7114
1690;939;8696
7752;920;8184
5969;3562;4710
4919;4908;3673
6804;7334;8383
4306;1291;380
9607;9564;9960
9982;1639;7627
4963;1104;2375
7890;3914;8866
3353;5979;8774
4259;5843;9818
4494;1833;1204
15;1939;5988
4999;2169;1852
2392;5448;1612
61;885;4381
955;6405;4426
6045;8690;8793
5714;4343;9735
1915;6055;8480
8644;2524;8063
5049;1662;263
9956;955;1827
1643;4031;1674
9858;1840;7772
9037;6052;9689
3865;5403;8064
578;7737;5354
7690;2956;9435
9027;8909;1563
1015;4341;3732
5760;3815;8556
6375;1477;1148
6990;5943;6730
1109;3597;5011
5240;2619;8189
2013;9216;2157
158;6739;4203
6270;1952;9083
1392;2261;192
9788;6511;1350
279;1974;4285
692;9734;3070
5656;9323;7922
9119;4875;6362
2692;4032;1684
6727;223;8256
2832;9168;9037
4319;7455;7262
2704;4463;6160
8080;5096;3767
2127;7790;4196
4521;8021;1687
4339;7421;9318
9739;2633;615
1844;4950;5014
1514;9704;5711
1301;7648;36
1113;3541;7612
9017;9208;6526
8746;4455;793
8285;131;9830
2555;8042;648
8899;3171;10000
8570;9584;5769
7825;4944;992
3353;5776;9517
3321;7848;2484
