8061;9388;5692;3072;6861;976
2320;6636;655;2922;4768;3537
9515;1566;6689;7046;9274;1634
5089;8690;5257;31;4558;9212
3092;8231;9560;5097;3553;6541
747;3332;4748;5396;8492;1829
5226;5050;3573;2576;6683;4010
5230;4632;6341;5730;3328;5945
1446;2027;4702;1193;2777;8364
5808;9978;5652;9382;5296;3831
2574;9732;3659;1551;9845;5811
5320;2246;9330;4247;5865;8818
2907;5172;5217;7069;7828;7222
5739;5282;918;3959;3638;1501
2166;418;3837;1258;3421;9385
3900;8296;2862;8614;7831;5387
7795;7582;3339;2756;6734;2494
6260;3766;6288;3137;7747;7164
7483;396;3309;3779;3418;4323
4128;150;1788;9101;4644;6775
4562;1769;7862;6461;4344;1025
6593;3380;4875;9930;7040;2593
9360;5735;1400;5204;1161;2867
3290;3104;488;9675;2674;8839
7162;8413;9618;5280;7157;5796
3625;93;773;7332;8659;23
1974;4946;9323;5290;2030;827
5213;6942;2565;6772;8225;6631
9972;5587;4542;227;9730;6413
6897;4539;9017;9782;1035;8905
3847;1316;3895;1467;6163;9886
5987;477;3884;2081;5366;4396
8137;2112;6647;4644;2428;9762
2564;4406;9734;8194;2741;6477
8514;2374;4947;4960;8483;3429
1459;4646;6376;2438;6657;3629
9678;1600;957;1015;2406;5312
2312;5890;3214;8727;2618;3944
3198;6830;8464;2964;1695;4952
7009;4194;4276;5430;7415;3703
9741;5642;2444;3519;9691;9388
2117;8143;5753;5857;1308;6144
4015;8653;184;2102;5824;6347
8707;4091;5676;5726;7159;8752
3679;1624;8081;7266;1675;944
2178;331;3178;8751;389;464
3224;8532;8694;7380;7900;4688
621;2307;5622;9263;9281;4071
7995;4866;4898;1654;7643;9458
7046;1068;5379;5710;4002;1436
964;5153;8412;3036;3418;418
4425;4397;8907;5676;6523;7200
7732;9420;4804;6227;1824;5185
9920;2200;4643;5620;4885;7467
2663;2851;554;4101;8969;7131
9922;3679;8579;3965;2944;7772
886;2821;3937;2926;6360;9456
7967;1353;3386;6970;2416;9071
4808;6051;1910;7978;9436;7751
2750;5131;4208;2466;9447;2941
8497;8560;703;1515;868;4054
174;5293;1030;1316;6762;7804
5036;2908;9107;1331;4919;3929
1828;8113;3770;2843;5061;5412
6572;2399;4156;3420;2705;4293
7598;6092;2930;6404;5722;9160
8241;5511;3792;6423;3372;6849
7542;965;796;3250;7366;2224
4590;7175;3936;5307;3672;6042
8570;7442;5503;540;198;5075
6536;3218;3829;7780;4675;9400
1949;1952;7929;7216;3211;5863
7610;1927;9989;5842;7472;287
1847;5862;9058;1071;6208;3726
9456;8364;9546;6539;4332;5776
8175;6294;331;9301;126;7476
8495;523;5525;8351;8145;7290
1353;5601;967;579;3281;3500
4171;1500;8737;939;15;4970
1386;2027;1532;1610;8887;159
5837;2242;8030;8049;2889;2054
5436;8838;1952;7211;4419;9698
7270;5550;5859;6773;6800;5574
1797;9389;8837;2815;9241;1546
6786;1534;5263;8462;9352;4278
6131;1986;6060;4337;1429;6231
747;460;5091;3884;5082;1710
1210;6040;6316;8140;8332;4187
8201;7038;53;5427;3448;6865
3596;5485;1803;538;9593;8086
4378;8233;4490;1415;1701;2436
5874;8056;2779;3713;4782;4584
6294;7607;8400;4752;4714;8937
4328;7254;2167;8045;2383;7227
7563;9755;3967;8359;8419;5938
9076;2223;9890;5107;6882;6199
1925;1143;8664;4206;7659;5740
5556;7821;4074;313;6922;4548
6627;8366;5810;6511;2301;2125
8317;1913;5999;9981;502;9322
4043;3324;1205;1841;1438;3343
2846;4397;2602;3329;8912;1500
8392;2530;8696;2299;3246;2558
