3615;2091;6410;1696
6019;6983;3148;1482
9496;1925;6977;7607
1609;6849;6555;7205
5620;3103;5357;94
7863;602;9028;2356
6709;9729;9165;5865
4028;4295;7116;9955
7214;2994;3708;1327
5161;983;1777;4307
8385;8385;5027;8226
8063;5389;5917;5367
5221;303;9441;8321
1528;6197;4955;1973
6596;1772;9126;3156
565;152;4532;4571
4605;4525;8251;7088
1256;3286;9633;8166
6384;3793;3639;1347
5745;6495;2179;8296
9472;110;2674;2200
8022;9628;2016;4776
4361;4510;9315;7808
3916;7262;5015;6536
6621;5891;935;8328
3139;1984;3652;4309
5388;650;9669;946
3928;6651;9326;3240
1653;3885;1676;59
3876;827;2867;3360
3943;6500;7691;888
3888;7609;5902;475
9223;3088;4574;1137
1423;4136;7667;3992
956;7711;9973;1635
2955;382;304;9279
8219;1053;5336;363
6359;8641;6095;7374
2442;3610;7795;8031
9679;56;5088;5888
6477;2460;4501;9633
7602;8905;1083;3413
8890;1857;3601;2742
813;7895;5083;733
4276;7150;9085;3822
6540;5896;4974;6024
2058;7689;1377;3765
1765;3263;9091;9691
4177;3628;5639;1084
1142;6409;9662;7186
9510;2817;6557;1392
7084;4140;5749;8953
7859;5508;9400;9744
3086;5770;8035;6450
4186;6714;2044;4634
2473;3652;4057;1639
2038;2213;1046;1042
1983;9841;8449;5648
10000;8700;3699;7843
2585;9696;175;1457
166;5994;3302;2843
2594;4891;100;7660
4519;2796;9629;2207
7837;2767;3546;3481
897;5570;9012;1589
2219;2518;4823;980
1845;4179;1123;8788
1282;2985;1169;3920
23;1696;5497;82
1964;377;5974;8654
6240;7909;1129;2054
1175;6137;6670;4787
5460;7481;6762;3782
4854;4263;6107;8115
6791;386;1106;2304
5308;8472;10000;757
4867;1923;5343;5511
835;6341;2186;8771
9196;9576;928;2872
478;4277;1100;9241
801;9133;5774;7719
5666;5093;7653;9848
8857;4755;1495;5530
4813;4667;8146;6588
3181;4257;3769;1433
4553;6279;2116;3320
9827;6160;4479;4153
463;169;9056;9143
4667;8311;8876;233
3936;9091;8660;9572
3143;2038;6703;5495
605;6831;5867;5570
7104;8750;5049;4572
6791;1813;2242;465
4184;22;6948;3987
5733;8207;7725;5162
7289;2532;8489;706
9726;240;106;3269
1420;6526;1328;2984
8016;4245;4495;6756
574;7869;9191;9927
5105;2368;887;9871
9794;466;9957;5922
2481;4544;6342;7399
4105;386;2393;1078
3111;8397;2314;6312
5887;8448;9241;1129
8609;2311;5763;7754
7960;9146;2322;5505
2798;775;6295;214
6967;5903;9780;9591
5232;3392;6582;5934
5118;5006;5703;3763
2556;7222;5130;7572
6167;3406;7867;7801
1063;6662;7642;5947
3459;9424;9265;7079
302;9060;3294;499
8695;7906;6918;7154
1314;3630;5285;5562
8131;6126;536;9938
1123;5678;2129;5179
6978;4315;3519;9780
6137;6645;342;2781
6688;2772;3324;5195
7347;1295;8793;6841
5727;5992;6312;2447
