40408;9589;22967;19102;49630;24090;26685;6027;22456;28372;18971;4648;13771;7655;7326;46588;27296;16742;33088;23649;462;12832;42812;24867;13894;22322;34093;28984;44431;6594;28959;47546;15408;13423;7557;10177;23824;46577;539;16493
47044;20364;25978;2998;46589;10354;11056;25143;20414;5555;3297;31254;36048;22497;10553;31713;48872;14205;5644;40377;12235;25207;22053;17187;49337;16550;42782;38918;28106;29375;46815;8329;10281;4846;4055;3191;29844;25672;180;311
6203;15137;26079;31330;24109;12304;6929;9076;25145;22290;10898;23410;37517;48493;47369;33495;17409;29697;23708;5604;37574;41599;27862;36197;34762;27831;33204;45505;17539;5706;2223;46526;22964;46844;11143;47450;23121;28176;27806;25464
3017;22165;36411;8865;16012;38677;14628;27266;5618;9722;35890;39221;17171;16305;4790;5499;3699;26554;44910;15037;373;20775;5132;27356;42674;38003;48722;11006;31979;4246;4617;45741;23337;23529;15777;8826;32189;37337;37930;24221
16893;29709;23597;37717;33587;13529;43915;33736;20486;45040;2841;43090;9901;20143;39471;12186;31548;13032;20355;27787;40919;37707;37982;49201;12740;20108;11526;32163;15434;20078;41685;10879;48040;11548;3982;23659;27069;32438;30926;42537
9013;31482;15874;28153;42950;30407;47525;34125;43517;44;44032;46677;34221;27311;73;33705;14045;36213;26742;8623;46036;40422;37548;46642;33722;40764;374;45289;41053;34162;23801;8749;12677;43806;48831;41850;46290;40975;35073;8015
17145;18945;40518;33882;18444;7379;43008;43457;10535;5318;504;15006;26147;27185;29679;42106;19843;36736;16287;45296;36924;38459;28974;12872;24688;13302;49085;4224;45892;22602;39150;3680;20785;39642;47141;24132;26287;8294;23996;17372
32917;49669;35831;46122;14773;14701;5077;6446;41179;12197;29316;47887;11918;14065;10959;7006;41647;31374;12523;35380;4823;28944;29622;49038;48797;24807;17928;16547;16269;13764;23460;21345;28577;27195;30607;36723;2362;27376;25437;5967
11081;46157;33642;31836;42645;38484;19573;30325;109;18857;4702;10983;37834;42224;39510;24128;2021;13817;39186;20047;3708;42412;26633;1951;15361;20017;29606;32946;20367;42246;31170;3217;24876;30152;24036;18851;45086;49491;34987;34722
7149;2805;4848;15807;34598;27297;8383;841;735;15308;13895;47163;12570;40892;16605;7872;44520;49804;19943;34286;19031;30081;44863;36861;5454;38699;9174;12929;6324;770;24229;18953;5143;16166;34963;6336;543;24971;27339;1434
