2449;5682;5954;5527;6360;7674;146;7483
9597;5632;8327;5800;6398;5460;3935;1935
1426;3348;3369;2494;3478;6910;8973;8954
3049;485;7360;5566;3540;7776;7419;8060
2296;4254;8826;6739;515;2839;3485;9169
9732;6323;8870;4482;4440;2263;3075;1802
4126;7845;1551;6933;3981;7062;9276;7941
6293;8935;2613;918;3343;5595;6113;1922
2285;5522;2116;4203;3896;9052;5465;6000
2880;3454;2450;5356;1259;7405;765;4500
4099;1075;8609;141;5135;5334;3379;6276
7842;884;7825;1041;8053;4680;761;5988
3128;4961;4365;3826;356;6412;1939;2370
8324;2761;2190;7565;3218;458;3936;2056
2689;7533;4621;7513;9092;8685;7099;5391
7260;4002;7325;8950;6890;1949;7373;7123
843;3193;2118;2229;8437;712;4037;5968
8224;1214;9836;3948;3443;422;5920;537
1415;7415;2983;2337;3261;4178;9368;4900
8857;9910;8914;54;7151;4227;4529;6572
2037;7205;364;1732;7516;1461;3732;385
5795;1228;7946;1986;3492;3446;1841;5197
5817;5022;4765;5642;2706;5085;9226;9064
8289;407;1428;1844;1060;8112;7163;856
1497;2578;3101;483;3462;2094;4954;6440
4781;3329;1442;9433;3668;6533;7912;7569
2408;3453;623;8146;6274;7844;5994;8129
5208;9523;969;8056;6802;4929;2465;6773
7847;4543;4695;4950;4908;4342;2605;5362
19;8713;3662;5261;5718;1035;8110;3680
6706;1432;5320;7467;3054;1297;3969;5936
534;3813;7784;3122;1375;3722;8463;3978
6971;2549;7764;5553;935;3818;6270;2858
207;7878;1797;4518;9580;4923;9173;4408
3927;5261;5964;1997;46;4143;7593;4784
8789;4799;8294;3947;4039;5907;3311;9561
5653;7428;9985;8015;9766;5986;6253;8204
9904;9048;5044;5136;9493;8638;5387;8491
4036;1632;8052;8825;7037;8437;3803;111
2895;2446;4793;3720;5957;481;1257;6513
3953;8727;9112;9771;3547;1358;1344;3196
79;3991;4514;209;477;5094;9490;9771
9293;361;7092;4388;5414;4642;2209;3205
446;7623;9531;5009;8646;6895;7932;3264
2965;9081;1644;1966;3126;6489;6516;2107
3545;8893;3889;3339;5865;2060;236;2127
9254;998;1333;3110;2777;3731;6967;3213
6732;568;2140;2420;7212;3761;244;6418
1764;3950;510;7382;9095;4211;7938;7702
8265;2339;1757;9125;3153;5436;5843;4968
1215;6958;2373;8197;6052;5970;4499;9928
3194;1550;5685;9014;2743;8724;2023;5451
6692;6313;3031;2090;4655;3751;2564;6236
6388;5601;1418;1705;8257;1038;4923;3150
7921;7927;6830;400;7827;3186;4676;7173
7253;551;7843;9160;722;8696;2907;6511
8484;4558;1694;2592;6137;3893;7943;2497
415;2189;6074;4984;3376;2896;4793;6361
7186;8812;6593;663;2103;6172;2037;4402
7920;5438;169;9873;6234;7853;5874;5570
5299;6705;2910;3297;2586;2066;5762;5820
1359;9430;2981;7383;9744;6866;1491;5426
5096;7401;471;6084;8427;833;7788;2043
7405;9992;4954;7101;8543;6191;9868;2170
865;9538;8941;1430;3787;8626;11;705
6332;9407;5282;6527;2514;3833;9329;9164
4786;7404;9877;3711;1830;1322;6294;5449
564;675;1522;2646;2561;1502;8821;7797
6234;9111;9742;7426;4823;2885;8787;7171
5916;3853;8479;4838;8330;2336;4406;6115
748;6805;918;4502;3790;165;3072;611
1916;4417;2125;3530;7244;7114;9159;2188
6942;8486;8844;5044;3651;7200;4703;1844
4989;8775;2853;622;7531;6327;3800;7851
7157;9853;5607;3173;3156;5812;3855;5769
6887;8032;5792;1652;3564;7336;8355;2079
683;8127;1824;5274;3043;3049;2263;6121
4033;8863;2089;7460;9451;7285;115;398
5208;7224;6583;5861;7725;8084;6491;6241
3068;8159;6564;9062;16;2014;6197;7348
1713;350;2581;9825;9849;3704;6313;4737
