16843;13857;10301;33098;4331;24862;45737;11990;6806;26823;38886;4370;16123;44531;43834;46395;844;36128;16453;3009
28918;25389;32577;12611;33815;35915;45078;16446;8581;4756;9714;49772;24351;21124;3491;603;41884;23037;26923;38898
25889;20277;5526;33616;1071;45850;36204;10153;16715;45385;12790;1799;40859;32449;36143;39696;24601;37765;2141;19854
13339;36552;8054;10169;44483;10399;45946;46077;19584;47526;25224;23150;16149;40641;25656;16702;25921;7833;18373;8446
47575;36721;46101;37818;46458;11099;35011;34801;12398;6281;11858;12103;16467;38597;21902;9290;36587;15943;31292;17489
2752;19560;47543;36522;38814;13818;41159;34776;30658;6524;24270;14132;32471;22793;29099;27125;33028;33012;3321;48421
9500;4522;23164;7856;16576;2807;16486;27012;41744;43533;22856;46522;44232;19743;14775;34656;27364;38776;11024;4882
18628;37982;25351;33130;14015;35723;41023;29690;37125;38542;41083;7389;20998;29770;20806;9617;15369;3335;31692;38751
10961;31211;46815;46791;11634;4524;14428;12582;41444;5287;9035;36450;30055;2873;45747;26828;5612;8290;27711;2752
32369;38357;7981;25192;28099;19881;31282;40730;12975;4620;49631;18633;25303;27362;37975;27730;2049;9081;20550;18103
8191;1835;17363;32809;8516;14174;2946;36629;36983;33994;34751;38872;38975;36079;15094;2295;6917;10982;2257;379
42153;43665;18037;4637;36300;4783;44909;18151;19787;22310;17827;25089;8256;34613;45521;48092;22822;35178;32984;11628
2127;33126;36347;48995;20036;45161;7019;5465;2423;13029;37154;3948;36596;17934;21819;2338;33053;45181;34510;39198
47101;18453;30232;11774;23695;594;38673;8656;21510;38633;16981;5226;21479;45254;24163;21827;1421;18907;18363;9647
33423;20011;18439;21032;4188;4106;20622;25154;19008;1307;25592;4661;72;49538;27545;41248;14961;1050;33002;17561
26380;39068;6776;4155;31962;10683;29109;6131;44734;16188;41473;38745;42527;1777;43582;43789;43330;39101;19382;40283
10069;32265;40992;35482;10015;45175;8453;46813;45520;6532;22135;45086;8286;44016;11692;37322;1596;23860;46497;8711
27400;5550;8813;49506;19286;29788;29651;16094;7008;4970;47146;15312;23819;18446;12617;14810;40558;20603;13766;6858
39134;5744;26661;44391;42766;2170;11781;10063;42868;39800;1867;18887;45523;29572;767;12825;37862;24236;27771;7481
8419;14061;44481;23212;37783;12563;32277;36682;26168;37535;32568;15104;28733;12495;19785;832;25636;2533;1550;33627
477;11807;29944;17937;21801;32847;20853;17578;22318;15455;18606;22033;30400;42298;11929;28190;607;32055;43101;25215
33617;49190;43159;7598;41420;37247;26027;13043;12911;1841;23960;14140;6205;36376;2529;26784;15309;22010;25815;8465
20965;18107;16174;30048;27673;33167;18541;34628;28102;41464;30220;2360;11439;15377;26892;42334;18978;16226;37080;12970
22263;11000;34469;16509;37364;23478;9888;23489;29612;49419;43636;20846;14280;25716;11163;27522;28984;36125;19487;17083
9367;2841;43677;42624;32948;26950;30447;10600;49537;49878;26510;35184;34766;21633;22818;5815;19700;38740;36517;26475
43290;13074;22293;33788;11947;16025;28215;14137;24087;24171;28300;46873;10820;43021;34153;33639;3187;32614;6601;17023
18166;17365;17949;16916;3241;1000;20648;490;13390;8880;42435;41939;14256;27531;25898;23369;15154;2371;2857;24104
13728;3092;4739;6893;49716;28414;44003;42287;23714;42922;9545;25911;17379;44338;40409;22095;4814;6963;29797;22814
5439;2813;46754;27702;48584;5484;6440;2788;47216;35511;49990;15594;29436;43409;29346;24749;29010;30385;11173;18735
45323;38247;29030;49812;1846;30164;37324;41785;23682;19653;3699;49095;18892;25846;11873;11791;48583;19166;5593;15205
6266;24323;13078;7600;40309;33857;6620;3710;18614;7843;938;16033;13630;6755;45198;28945;31840;23580;29927;49876
14183;16295;21887;13134;23916;33815;16665;41237;6477;9652;27095;33631;38190;21704;6249;36262;20388;25314;17204;4633
3594;1041;44362;19260;43510;41335;20989;12748;1494;2487;4116;36327;44587;38728;22658;22362;48620;16911;10572;24363
14035;25120;26562;34208;45924;16221;37352;37492;40735;10303;17143;24904;6230;9348;4352;26197;37067;8913;42437;46178
7865;24830;17898;49690;49809;21672;17030;17329;10122;29432;6918;213;4707;9075;13133;13274;43352;3247;31785;5516
30990;25164;47230;42871;15329;42321;28019;20075;20419;8110;32889;48374;31945;26640;18628;11328;7312;28009;39592;48711
24321;10978;33504;18152;21466;29980;47486;28672;21428;4999;13909;25007;44279;41421;45624;13362;8694;34584;39680;19073
37439;20235;38424;16072;20692;41733;11792;32957;44604;1506;43616;17694;9943;37388;37397;26356;32869;16996;7868;28732
13520;13934;27651;23330;39378;27412;8276;10294;9530;1584;8832;5706;24272;38254;47709;35369;43304;24682;4847;11026
19981;30709;38118;18397;15913;12711;16368;6040;43305;30885;14675;26426;49773;6598;41565;30162;46787;15646;45354;16498
41810;41798;43740;48864;20855;39987;43285;9960;4987;28563;33449;45031;38756;30344;27343;6737;21189;12904;35321;35750
3456;44749;4312;43755;27173;37473;42312;19566;32281;5800;15522;40772;34528;5014;42628;9658;8229;15965;46174;49427
2320;3391;14310;3369;9190;25451;1240;42136;3607;21900;41646;32029;12442;28454;24764;16687;43594;17700;18447;16632
22025;29987;29243;17715;29063;32326;5347;12912;23389;30148;18540;3054;1269;24656;21162;45436;31929;28261;36499;18434
21959;4128;23997;32580;42220;24594;32536;17357;13151;42438;22578;41000;7664;20259;15033;21694;13820;45905;5301;20469
863;31692;14456;14570;34518;10187;32654;14561;889;9269;46088;38226;47430;19437;29051;19756;32803;36933;6701;46854
