20306;85;32195;22151;27660;46932;48688;37031;19980;42931;48983;45642;44898;23797;35497;20007;14360;34322;10924;47119;8456;3014;24109;41243;26367;16462;30218;3922;42584;16309
24292;19417;4770;45518;35199;13549;8287;42449;4638;47856;9128;22457;45408;30934;41635;12046;30850;5333;31570;33220;28990;49241;46792;32703;45364;12397;48090;13218;46387;18338
12759;335;4031;15908;42925;6115;3704;19939;12742;28595;24192;21190;16512;45934;16599;2276;32427;39461;4702;44814;34248;30958;36034;25442;37125;13215;45490;1560;25861;4411
30143;35062;38044;12811;47992;29280;40385;10907;80;42526;21112;5310;9986;25130;8772;9337;8477;5544;44811;36591;47645;24297;13377;28793;3487;22948;45786;18726;48125;28261
45256;3585;6483;23976;47549;26619;20527;18538;11042;3506;6383;39295;43696;18135;30491;48125;14349;20160;30703;37549;774;45221;36310;6410;18996;3401;47640;31375;28245;21045
37226;27935;31988;48178;44981;4729;12604;3039;44901;29645;46919;27629;23528;46043;17550;23456;47565;8435;33796;21226;2431;49161;35787;9028;32413;38899;11517;31604;6733;36003
14337;10605;18974;35705;13438;35784;23198;7536;30752;36532;6865;8785;11257;7003;4886;6075;34231;4550;11353;33942;47307;21555;6561;5930;37674;17729;23483;20964;28564;10174
27087;31440;41111;14289;18947;12542;25698;36644;7091;48652;46382;11327;46317;29397;37680;14778;47373;31232;14386;13046;12461;3415;36038;22219;1186;14131;13202;4005;27761;1707
26319;46160;46831;28595;13462;49209;23191;49696;21953;6393;43729;34329;4816;42852;29407;21655;42421;23835;33943;44908;27183;43197;13813;37363;15865;27447;35165;23738;40998;28896
18558;13356;5001;34565;29748;11688;38407;26470;20210;961;45087;40060;32339;21283;30669;19371;12543;38132;24886;10407;3996;26687;45478;36918;30566;1724;11455;6130;1479;21031
21668;9211;18416;21790;24413;44381;6200;33014;31047;25050;2561;46054;14727;6235;22585;37231;49504;48763;6185;30366;24011;26908;35488;13983;5578;21321;38862;35419;8757;3377
39575;2069;12880;18111;7280;27524;14166;15342;25755;2885;39751;17652;47069;654;37970;29010;33334;6892;40646;17700;24884;23772;3155;14998;39128;16303;13047;10460;13945;34093
27199;19335;41761;2308;36256;8411;15804;30849;45882;33987;36141;18493;41349;19662;42706;4680;28029;25325;28393;24261;41095;43389;36006;46638;4451;12444;48322;35289;4003;35375
13865;47373;25665;45491;4541;13851;36321;49552;27717;10718;42628;42634;19699;17302;21329;20029;12539;16514;37752;23656;8436;41117;37141;22236;31494;28462;49026;9983;180;3544
18997;1123;23371;20881;38475;36259;36349;16889;44107;17091;38307;9056;49977;5484;41654;41699;9835;15664;5153;15895;2645;44031;24575;40657;13743;33307;27552;24762;7644;11033
