5095;2432;4706;1499;7128;2032;1218;2260;207;4252
2023;324;3817;4882;349;4290;6581;3003;4295;3673
5195;7506;324;7834;3357;6744;9241;7662;3737;5822
6732;7610;1248;5847;8270;9793;4664;3219;9510;5754
1604;4532;8382;9220;698;2897;3517;4574;6510;6250
6235;8719;8941;6929;1361;419;8514;7708;2046;6899
6058;590;936;8563;2076;3053;6293;5550;4463;5302
3211;9592;9212;8532;7006;9815;6530;2664;5522;9274
7644;5638;9583;1348;494;2209;6178;8389;7369;7405
4177;4004;8798;7453;9561;9590;1482;3600;3064;9006
1589;3233;2636;9830;9344;5169;3052;4907;9996;1317
8054;6977;7552;5548;1421;4141;8295;4860;1878;8150
168;6656;8385;3530;1686;1933;9619;840;5486;4982
5084;6455;6300;3170;1725;2716;3535;648;7409;4359
2196;2069;2812;7477;1896;4598;3659;3832;6071;7750
360;1532;4832;3793;3647;4730;8287;3706;2488;7332
7027;666;9526;8267;5257;3140;5555;7115;9216;6942
4272;3086;7124;7582;674;9039;8242;4387;2519;3785
7764;9494;9111;4117;783;9892;8325;7190;2840;6857
2598;3438;2070;7710;2181;7472;245;3684;7136;7037
8535;584;3175;7726;9353;9934;7672;9903;8742;1715
8823;807;7578;4708;8652;9090;2885;5069;2537;2730
636;2102;6150;2507;3186;1883;7662;2803;9793;5322
1931;7995;6128;9870;8277;8333;9500;2024;922;1787
1059;3749;8832;353;8436;9151;9397;5070;6195;9029
4485;8201;8403;9040;9340;7819;3709;6125;7218;5472
6217;5042;9762;8855;5334;7102;2562;9812;6583;1243
7076;5885;3183;5986;5363;1318;2420;5311;8623;9522
1283;8345;2232;5219;962;3684;3673;9205;843;2415
6758;3203;7083;7593;1308;8908;6208;6560;1237;5274
1676;6282;4834;8821;2874;2572;2508;9481;4945;1651
2010;6818;2156;7780;5041;6211;1253;5825;4085;7038
900;3579;7344;8613;3651;5180;159;7914;7446;6669
3168;3885;824;4095;5975;4881;727;3440;6423;1106
411;4874;2752;4345;3624;417;954;224;6111;6138
