6427;9704;2083;4736;3800;8404;1105;1656;6604
9953;7328;1764;9215;8130;8654;8482;7977;1341
2166;9969;6827;6020;3912;8674;1570;3055;9467
1606;3290;1063;9949;767;5357;5428;702;6964
9854;2408;6351;1437;9842;6944;4878;1595;9685
9249;6336;7946;8709;6998;304;9724;9884;1360
6133;5242;1468;1729;1168;5356;6818;5436;9502
7728;582;1159;5526;2622;6467;6318;9381;7106
6857;8122;6691;4032;1026;1899;6679;327;435
3223;7437;6817;1481;6852;2006;853;5100;4525
8131;6677;4918;67;4689;7458;7998;9789;9036
996;1593;4689;2712;6393;2009;4479;5315;6660
5694;3672;8978;3882;7114;8558;43;4813;5009
26;483;1699;198;5693;1285;829;9408;2410
8976;4922;435;6079;6755;4523;6714;7472;2793
3510;763;7397;656;8995;2239;9388;8180;799
5411;5181;1970;2113;6490;3705;5684;3718;9684
7507;2841;8114;9519;1967;1464;961;8904;7909
1846;3418;9810;9060;8858;3565;8717;2263;1975
410;75;7169;8269;4408;2459;9969;2413;2714
291;7999;2335;3531;3622;9774;5848;7997;2936
9444;9695;3248;411;8534;9018;7505;3902;2578
1074;3970;3806;8016;4406;7028;262;1003;6799
7361;9161;9489;7111;6392;946;4933;8131;3840
3839;6726;9622;3477;7939;1740;7810;4598;6411
995;5239;8360;5843;6782;9107;4716;9425;7945
2683;8194;8887;4227;2267;7340;2744;7504;4903
9109;3925;5442;7541;3917;1493;3864;977;4886
6963;100;6132;6012;1511;394;3845;6456;3421
1353;7863;3981;8989;3914;6207;8493;8042;4014
9655;7531;7836;4402;4342;6726;1392;6054;3402
9771;9019;2864;5037;2573;1091;4240;8412;7997
854;3656;9168;3853;279;7045;1386;7261;5698
6974;5011;8665;3731;3919;5585;4104;423;5696
3350;4362;3991;9944;3618;1014;3509;772;9215
7531;9737;5670;7253;8843;1927;5842;7388;9017
8215;8677;7358;3338;1001;5408;4017;1115;1105
1498;8271;4992;6300;7028;6007;9768;5638;2619
7627;1670;340;2176;8757;8918;1690;4022;2324
7210;8354;206;486;640;7195;9645;3695;1455
4792;5178;9293;7213;5917;1187;3419;382;4529
6950;4696;8504;6231;3872;8529;2267;9909;9505
2888;627;9482;8581;1589;4598;5290;5327;4913
5163;4968;2256;6064;7804;6936;1993;1595;5433
6730;6200;4169;2656;7531;4128;3455;7131;8802
8188;1252;9421;7592;9002;2030;382;4263;1628
5064;4661;8968;618;2073;4453;4927;7313;2803
3910;2989;1209;4515;1729;461;9347;879;6652
1956;6706;4169;2792;1824;379;308;3143;3282
3415;925;6042;8291;2287;7568;3151;3333;9521
8294;1287;3009;1899;2345;1734;5010;2529;9556
3475;4236;8595;5323;4813;2495;9309;6233;5572
8111;6579;5036;9489;7152;6559;6367;2280;5340
2320;5639;7730;3009;5918;5778;5105;9544;6570
757;3149;6111;6462;372;7872;4161;9042;2773
3273;292;7072;3321;7838;8346;107;9228;325
6652;2421;2361;65;293;10;1221;8395;5641
8828;6880;8619;6374;6889;7166;7050;209;1795
77;5045;3800;7340;5206;1695;3011;5830;1555
3220;9141;8186;9431;5406;5851;8400;7780;7146
2955;734;5778;8244;3314;1679;3155;3553;3905
2031;8688;326;9333;1060;4217;1297;2450;6592
4304;6800;7852;2959;2253;6138;1180;5983;9145
5948;1142;626;5394;9162;8525;7390;3501;82
4024;9801;6511;7387;2780;2079;7483;8644;5728
4131;93;241;4646;5389;2892;4796;3253;4824
3276;4471;2333;135;2708;4699;2098;7015;5576
254;849;5333;5594;3336;2666;2327;4855;7954
2812;2255;2652;3423;3668;259;5490;656;8253
8115;2838;8080;628;2056;9372;750;9718;8889
8877;6802;6052;2288;7206;6047;4645;3961;3187
2744;3430;3401;7992;3764;8842;2350;4753;4284
5344;5448;3946;884;4314;1176;9272;8000;8322
2575;1094;3466;1271;304;4806;1638;3594;5493
4193;4227;2079;3082;6583;2058;5902;4475;5160
7131;4817;7977;9280;6038;2620;7153;9506;4173
4481;2609;781;1790;2313;7563;9123;1133;3423
4673;9457;88;9264;1316;8363;9348;62;4749
1898;9153;176;4460;3065;9583;5025;3533;5221
2046;9090;3514;1747;7865;8657;5254;8190;7493
9993;1802;6178;4708;8974;1897;5495;4383;8673
2163;3261;4994;2067;7776;987;8256;1689;6855
5746;5045;9840;2530;238;4939;3456;6966;2026
6670;4608;6731;8964;1019;9780;4310;9062;9128
2593;798;2491;1888;9390;4359;3970;7609;3088
1818;6349;2483;7355;1629;5078;2021;5110;2361
9093;6572;5478;8156;5000;2742;8670;8947;3652
1154;6213;2074;5313;8377;2512;2270;4579;2392
2030;195;2092;5277;1595;3200;6074;9418;1626
2616;7868;1279;7692;2528;5392;7020;5407;4832
9215;1554;3975;8905;6861;2828;688;9546;2876
5806;1054;4582;1488;1551;712;9087;2050;4623
6774;9732;1120;2046;7168;1896;3504;7892;373
3859;2211;8079;5520;3023;8145;7702;8279;2219
193;9249;2536;2818;6008;6829;5788;5421;5185
6094;324;1555;3868;3327;1248;6923;8309;9189
4857;8089;665;8242;8768;5321;6581;4365;3753
3165;5439;9042;417;5639;9676;286;3104;8386
1151;3410;4444;5535;5921;1860;3993;9543;380
5800;8770;267;2063;3602;8596;3953;4618;365
9364;5844;5135;7221;8418;4554;7394;5116;4844
1297;5996;1968;6686;7836;2355;4778;591;9206
882;6580;2146;1799;6179;7708;1411;9215;3223
1237;3938;7108;1349;2009;4642;3000;1639;1706
8478;4733;7826;5545;3635;9821;723;4565;4404
3478;660;2666;8766;9620;3355;7508;6448;4506
5015;4977;3124;1931;2142;2440;1339;7820;549
4379;6751;3148;9671;182;5562;7330;9258;3409
4048;125;7491;5598;6553;4222;9083;9646;1810
4388;9304;305;4027;1031;5460;9334;111;9914
7872;2367;9878;996;6208;218;1327;3889;6052
5024;100;7778;2060;5362;557;5521;3995;3818
4187;1518;5976;3382;9185;7167;7425;7009;322
6209;8411;2415;7411;8053;3644;9618;5687;6165
6295;4853;9716;7287;7647;8352;9589;5230;8617
3991;8677;8620;7125;6512;1233;4751;1827;8457
7550;457;3171;1333;3721;4754;4666;7291;2185
2037;8918;8288;4241;7898;2631;6291;427;1448
9824;8246;3309;1647;1985;4013;9268;2287;3536
154;4325;3038;8196;1916;2377;5991;7718;3117
1639;6181;545;116;1163;1228;7989;2172;6779
8496;4708;8327;7834;2518;8280;2093;9329;1419
6004;2576;7916;1827;6616;3649;9077;144;3475
3081;3400;6633;5834;6288;9282;7756;8724;3432
9760;7998;2979;1473;5547;4579;35;7004;4814
2347;5387;9790;1194;631;7531;9721;218;1168
3559;7146;1472;5364;1177;4200;6790;2040;3347
1711;3577;9214;5775;301;3564;6346;5575;1935
1352;2526;2826;6356;8221;574;7222;1244;6330
5460;365;1663;4619;8986;400;5047;601;515
4573;677;4284;5273;8706;5832;3470;4879;5496
1826;2568;7425;5808;3120;5961;6626;3439;6222
7020;8032;7006;1146;5277;898;8590;1642;1909
818;2009;7915;1297;1293;5348;9408;5929;8954
421;5242;940;4106;1896;4598;1775;9237;2717
6306;8344;9834;9935;3441;9660;9412;1649;3245
2218;4885;4733;2477;5607;560;7179;7704;5684
7977;2281;8829;5375;4637;9534;6608;1159;5375
50;9398;2161;2936;1098;3604;9986;3931;2664
6663;6919;4993;2413;2142;6129;4046;4980;6179
1763;4689;2931;1976;4068;9840;1403;4501;5431
3378;6611;2421;728;8100;6569;8238;9946;633
5191;6609;6559;8504;4212;7836;8759;8399;5702
5075;5289;2052;364;2884;6176;6069;122;4728
4467;9957;8116;8691;4979;1325;5371;6461;8747
8231;9397;9554;6739;6684;5233;78;1766;883
913;7457;6207;1183;4599;1036;5061;2567;3412
901;8460;1730;3326;8117;2787;1278;9683;491
5451;4874;2909;500;9495;1036;7223;8040;3263
7533;9429;5176;2144;3326;3922;8121;8062;2180
5755;3319;8933;8758;4367;8119;4251;1889;9092
1337;211;3209;7058;1181;9542;5024;2876;946
7560;2463;8491;1389;3580;9070;3321;584;4196
1717;4109;7218;882;4954;149;4123;8521;4914
3829;9007;5301;1908;5211;527;2587;9430;8605
4723;9636;1969;773;3291;5862;7687;3704;8474
4248;2072;9642;2484;5190;3513;4884;3754;5200
195;3212;1723;4351;984;4735;9027;8919;9797
9291;905;9606;4827;7010;7091;25;9270;5070
2977;3250;3222;7500;6716;1782;3036;897;2874
2777;1815;4980;8129;6210;7512;4470;4276;3021
3988;5464;9324;3719;7966;8240;4594;1806;2701
241;6443;8646;1940;9244;8825;9123;617;8056
6561;4266;7282;1702;6441;1140;9723;7269;3797
630;6906;3245;9655;6313;2008;4409;4699;7801
6363;4579;4470;989;1951;6479;6694;7280;70
5438;3700;6630;435;5710;8569;4628;3842;1736
406;4526;1436;924;7268;9011;4683;9243;6981
8567;1237;5638;4276;2428;4571;7957;2990;9449
8425;1135;5225;8515;3662;7283;2735;5409;6423
883;9926;5392;2590;5531;4388;7418;5478;8249
384;3759;925;1771;4404;1548;9999;257;1800
6143;3795;5766;5210;3581;2217;7496;9289;529
9850;2543;3327;4825;9674;3420;1947;9646;6332
5539;1398;5387;8454;1505;5775;839;8183;5580
7362;218;9913;6102;9052;8820;5552;5724;75
1195;2748;1006;4493;4073;2145;1746;7072;1221
8460;6497;4309;7607;178;9229;4023;3839;3435
3811;8867;9152;3064;6773;795;2926;2361;7267
1011;484;7582;2408;2904;1673;7420;3951;4209
5532;5422;2165;1632;5696;956;2428;9394;1676
2747;6070;5148;6202;1426;9511;1606;1992;7944
4418;9974;8380;5920;1910;8769;4967;4836;3143
8643;4335;3684;8206;9902;9110;2002;4532;1505
6167;7530;9118;5645;3643;749;509;6368;9917
5982;2436;7600;4082;8702;7681;303;2237;376
5308;4252;4833;1245;2950;6898;4997;3496;9558
3117;478;4468;5850;8501;5245;3902;6106;3688
3625;9467;4610;3241;1471;9220;1071;3351;8894
740;7851;3593;1912;6256;6782;731;3046;5287
1591;1712;7207;6267;3242;4093;886;8804;1456
5689;6780;9381;940;8174;8744;8825;950;5362
3609;5056;3085;9859;1997;9506;9227;4062;4998
5350;1230;4045;4496;1446;1588;2081;248;7299
5750;8814;1436;207;5215;3774;612;1065;8489
9269;8146;6868;8706;8908;9944;9284;7710;4823
2168;3403;7008;8080;531;7477;7420;4657;1288
2335;8008;3383;2548;5204;789;61;3910;9893
6094;1970;1248;96;2048;4394;1942;7079;8557
7094;7436;3024;7286;4453;7962;5570;2115;9969
81;9004;3621;8035;3513;1661;1106;2623;3262
3733;6818;8266;8012;8099;5332;4699;7927;6893
1679;3602;8100;3751;9374;3819;2164;7582;921
